rowKey,year,Gender,Binteraction,SEinteraction
"sum_wage",0,1,20.98623,1189.541
"sum_wage",0,0,-900.8165,776.013
"sum_wage",1,1,-645.0515,1005.703
"sum_wage",1,0,1608.457,984.7925
"sum_wage",2,1,164.1735,953.3008
"sum_wage",2,0,989.6489,874.0477
"sum_wage",3,1,-386.0498,1161.874
"sum_wage",3,0,-3222.76,1272.49
"sum_wage",4,1,-5336.024,3588.38
"sum_wage",4,0,-4113.093,1591.452
"sum_wage",5,1,-3335.272,2939.516
"sum_wage",5,0,-5179.483,2124.985
"sum_wage",6,1,1356.564,2732.239
"sum_wage",6,0,-3470.872,1852.516
"sum_wage",7,1,1543.887,3354.206
"sum_wage",7,0,1316.856,2096.547
"sum_wage",8,1,3398.243,3224.395
"sum_wage",8,0,3528.189,2243.987
"sum_wage",9,1,6218.344,2696.761
"sum_wage",9,0,2616.845,2319.102
"sum_wage",10,1,3646.639,4729.9
"sum_wage",10,0,1761.834,2219.245
"sum_wage",11,1,6778.018,4776.439
"sum_wage",11,0,4680.733,3137.22
