rowKey,B0,Binteraction
"B E_11_afterSchool",.1994493,.0299542
"SCHOOL YEAR CLUSTERED SE E_11_afterSchool",,.0217121
"",,
"N OBS NE_treated_before",2703,
"N OBS NE",10077,
"Weighted N OBS NE+treated_before",4171,
"Weighted N OBS NE",15903,
"",,
"B E_12_afterSchool",.2062748,.0280154
"SCHOOL YEAR CLUSTERED SE E_12_afterSchool",,.0197193
"",,
"N OBS NE_treated_before",2703,
"N OBS NE",10077,
"Weighted N OBS NE+treated_before",4171,
"Weighted N OBS NE",15903,
"",,
"B A_11_afterSchool",.0232272,.048917
"SCHOOL YEAR CLUSTERED SE A_11_afterSchool",,.01958
"",,
"N OBS NE_treated_before",2703,
"N OBS NE",10077,
"Weighted N OBS NE+treated_before",4171,
"Weighted N OBS NE",15903,
"",,
"B A_12_afterSchool",.0275347,.048403
"SCHOOL YEAR CLUSTERED SE A_12_afterSchool",,.0187163
"",,
"N OBS NE_treated_before",2703,
"N OBS NE",10077,
"Weighted N OBS NE+treated_before",4171,
"Weighted N OBS NE",15903,
"",,
"B B_11_afterSchool",.0918468,-.0240009
"SCHOOL YEAR CLUSTERED SE B_11_afterSchool",,.0209235
"",,
"N OBS NE_treated_before",2703,
"N OBS NE",10077,
"Weighted N OBS NE+treated_before",4171,
"Weighted N OBS NE",15903,
"",,
"B B_12_afterSchool",.0915937,-.026032
"SCHOOL YEAR CLUSTERED SE B_12_afterSchool",,.0193598
"",,
"N OBS NE_treated_before",2703,
"N OBS NE",10077,
"Weighted N OBS NE+treated_before",4171,
"Weighted N OBS NE",15903,
"",,
"B educ_11_afterSchool",.1564821,.1801023
"SCHOOL YEAR CLUSTERED SE educ_11_afterSchool",,.0897529
"",,
"N OBS NE_treated_before",2703,
"N OBS NE",10077,
"Weighted N OBS NE+treated_before",4171,
"Weighted N OBS NE",15903,
"",,
"B educ_12_afterSchool",.1729585,.1700762
"SCHOOL YEAR CLUSTERED SE educ_12_afterSchool",,.0891534
"",,
"N OBS NE_treated_before",2703,
"N OBS NE",10077,
"Weighted N OBS NE+treated_before",4171,
"Weighted N OBS NE",15903,
"",,
"B uni_11_afterSchool",-.039283,.2491293
"SCHOOL YEAR CLUSTERED SE uni_11_afterSchool",,.0910441
"",,
"N OBS NE_treated_before",2703,
"N OBS NE",10077,
"Weighted N OBS NE+treated_before",4171,
"Weighted N OBS NE",15903,
"",,
"B uni_12_afterSchool",-.0317953,.2499455
"SCHOOL YEAR CLUSTERED SE uni_12_afterSchool",,.094234
"",,
"N OBS NE_treated_before",2703,
"N OBS NE",10077,
"Weighted N OBS NE+treated_before",4171,
"Weighted N OBS NE",15903,
"",,
"B col_11_afterSchool",.2100748,-.0678247
"SCHOOL YEAR CLUSTERED SE col_11_afterSchool",,.0526656
"",,
"N OBS NE_treated_before",2703,
"N OBS NE",10077,
"Weighted N OBS NE+treated_before",4171,
"Weighted N OBS NE",15903,
"",,
"B col_12_afterSchool",.2121487,-.0719647
"SCHOOL YEAR CLUSTERED SE col_12_afterSchool",,.0520412
"",,
"N OBS NE_treated_before",2703,
"N OBS NE",10077,
"Weighted N OBS NE+treated_before",4171,
"Weighted N OBS NE",15903,
"",,
