rowKey,B0,num_obs
"B A",.0393535,15903
"SCHOOL YEAR CLUSTERED SE A_12_afterSchool",.020863,15903
"B uni",.2061721,15903
"SCHOOL YEAR CLUSTERED SE months_12_afterSchool",.1016066,15903
"B B",-.0275201,15903
"SCHOOL YEAR CLUSTERED SE A_12_afterSchool",.0198313,15903
"B col",-.0749291,15903
"SCHOOL YEAR CLUSTERED SE months_12_afterSchool",.0528975,15903
"B E",.0188547,15903
"SCHOOL YEAR CLUSTERED SE A_12_afterSchool",.021763,15903
"B educ",.1227026,15903
"SCHOOL YEAR CLUSTERED SE A_12_afterSchool",.097316,15903
"B wages",5312.063,15903
"SCHOOL YEAR CLUSTERED SE months_12_afterSchool",2848.496,15903
"B work",.0084163,15903
"SCHOOL YEAR CLUSTERED SE months_12_afterSchool",.0125402,15903
"B pwages",2.517143,15903
"SCHOOL YEAR CLUSTERED SE A_12_afterSchool",1.23992,15903
"B avt",.0013613,15903
"SCHOOL YEAR CLUSTERED SE months_12_afterSchool",.0148537,15903
"B avt_tot",45.24563,15903
"SCHOOL YEAR CLUSTERED SE A_12_afterSchool",160.0744,15903
"B months",.2969279,15903
"SCHOOL YEAR CLUSTERED SE months_12_afterSchool",.1643967,15903
"B married",.0005282,15903
"SCHOOL YEAR CLUSTERED SE A_12_afterSchool",.0190531,15903
"B kids",.0031705,15903
"SCHOOL YEAR CLUSTERED SE months_12_afterSchool",.0172669,15903
"B yeladim",-.0035338,15903
"SCHOOL YEAR CLUSTERED SE A_12_afterSchool",.0537362,15903
"B age_at_marriage_y",-.3175969,8408
"SCHOOL YEAR CLUSTERED SE months_12_afterSchool",.2235619,8408
"B age_at_marriage",-.3175969,8408
"SCHOOL YEAR CLUSTERED SE A_12_afterSchool",.2235619,8408
"B age_first_birth_y",-.2736432,6385
"SCHOOL YEAR CLUSTERED SE months_12_afterSchool",.2490988,6385
"B age_at_first_birth",-.2736432,6385
"SCHOOL YEAR CLUSTERED SE months_12_afterSchool",.2490988,6385
