rowKey,B0,num_obs
"B A",.0465452,11561
"SCHOOL YEAR CLUSTERED SE A_12_afterSchool",.0231037,11561
"B uni",.182486,11561
"SCHOOL YEAR CLUSTERED SE months_12_afterSchool",.1067502,11561
"B B",-.0212661,11561
"SCHOOL YEAR CLUSTERED SE A_12_afterSchool",.0263626,11561
"B col",-.0548226,11561
"SCHOOL YEAR CLUSTERED SE months_12_afterSchool",.0638063,11561
"B E",.0229467,11561
"SCHOOL YEAR CLUSTERED SE A_12_afterSchool",.0247769,11561
"B educ",.1106493,11561
"SCHOOL YEAR CLUSTERED SE A_12_afterSchool",.1029278,11561
"B wages",6026.387,11561
"SCHOOL YEAR CLUSTERED SE months_12_afterSchool",3388.972,11561
"B work",.0072799,11561
"SCHOOL YEAR CLUSTERED SE months_12_afterSchool",.0094522,11561
"B pwages",2.823318,11561
"SCHOOL YEAR CLUSTERED SE A_12_afterSchool",1.450578,11561
"B avt",-.0011714,11561
"SCHOOL YEAR CLUSTERED SE months_12_afterSchool",.019524,11561
"B avt_tot",-87.08877,11561
"SCHOOL YEAR CLUSTERED SE A_12_afterSchool",189.2092,11561
"B months",.3692865,11561
"SCHOOL YEAR CLUSTERED SE months_12_afterSchool",.1570294,11561
"B married",-.0122354,11561
"SCHOOL YEAR CLUSTERED SE A_12_afterSchool",.0231907,11561
"B kids",.0054863,11561
"SCHOOL YEAR CLUSTERED SE months_12_afterSchool",.0208439,11561
"B yeladim",.0344262,11561
"SCHOOL YEAR CLUSTERED SE A_12_afterSchool",.0660865,11561
"B age_at_marriage_y",-.5234193,6128
"SCHOOL YEAR CLUSTERED SE months_12_afterSchool",.2455853,6128
"B age_at_marriage",-.5234193,6128
"SCHOOL YEAR CLUSTERED SE A_12_afterSchool",.2455853,6128
"B age_first_birth_y",-.55891,4685
"SCHOOL YEAR CLUSTERED SE months_12_afterSchool",.2487549,4685
"B age_at_first_birth",-.55891,4685
"SCHOOL YEAR CLUSTERED SE months_12_afterSchool",.2487549,4685
