rowKey,no_weights99,weights99,no_weights02,weights02
MEAN A2011,0.0116384,-0.035,0.055,-0.002
CLUSTERED SCHOOL SE A2011,0.041207,0.029,0.048,0.032
MEAN A2013,0.0116337,-0.038,0.057,0.000
CLUSTERED SCHOOL SE A2013,0.0432957,0.030,0.050,0.034
MEAN B2011,-0.0201206,-0.032,-0.030,-0.029
CLUSTERED SCHOOL SE B2011,0.0194498,0.025,0.021,0.024
MEAN B2013,-0.0142645,-0.027,-0.031,-0.034
CLUSTERED SCHOOL SE B2013,0.0200732,0.025,0.024,0.025
MEAN uni2011,0.0878901,-0.084,0.243,0.039
CLUSTERED SCHOOL SE uni2011,0.190933,0.130,0.187,0.115
MEAN uni2013,0.0887351,-0.096,0.267,0.040
CLUSTERED SCHOOL SE uni2013,0.2032112,0.141,0.211,0.137
MEAN col2011,-0.0227496,-0.060,-0.008,-0.011
CLUSTERED SCHOOL SE col2011,0.0599788,0.076,0.056,0.065
MEAN col2013,-0.0190725,-0.067,-0.045,-0.046
CLUSTERED SCHOOL SE col2013,0.065769,0.081,0.065,0.076
MEAN work_2010a,-0.0404775,-0.028,-0.055,-0.060
CLUSTERED SCHOOL SE work_2010a,0.0185237,0.012,0.020,0.019
MEAN work_2012a,-0.033656,-0.024,-0.038,-0.040
CLUSTERED SCHOOL SE work_2012a,0.0170978,0.013,0.019,0.019
MEAN sum_wage_2010a,-7676.052,-5893.499,-5550.785,-5582.553
CLUSTERED SCHOOL SE sum_wage_2010a,2870.79,2531.686,1978.465,1797.418
MEAN sum_wage_2012a,-6033.509,-6429.997,-5975.122,-5946.593
CLUSTERED SCHOOL SE sum_wage_2012a,2864.319,2629.867,2520.862,2441.345
MEAN sum_month_2010a,-0.6339643,-0.363,-0.749,-0.747
CLUSTERED SCHOOL SE sum_month_2010a,0.2568818,0.132,0.224,0.215
MEAN sum_month_2012a,-0.4240046,-0.290,-0.547,-0.492
CLUSTERED SCHOOL SE sum_month_2012a,0.2127665,0.161,0.224,0.224
MEAN psum_wage_2010a,-4.288777,-3.232,-4.807,-4.794
CLUSTERED SCHOOL SE psum_wage_2010a,1.626629,1.273,1.696,1.578
MEAN psum_wage_2012a,-3.042129,-2.886,-4.599,-4.101
CLUSTERED SCHOOL SE psum_wage_2012a,1.382226,1.206,1.652,1.683
